Date,Open,High,Low,Close,Volume
2021-10-29,1081.86,1115.21,1073.205,1114.0,29918417
2021-10-28,1068.305,1081.0,1054.2,1077.04,27213173
2021-10-27,1039.66,1070.88,1030.78,1037.86,38526459
2021-10-26,1024.69,1094.94,1001.44,1018.43,62414968
2021-10-25,950.53,1045.02,944.2,1024.86,62852099
2021-10-22,895.5,910.0,890.96,909.68,22880835
2021-10-21,856.0,900.0,855.5046,894.0,31481454
2021-10-20,865.35,869.49,857.38,865.8,14032052
2021-10-19,877.53,877.95,862.51,864.27,17381128
2021-10-18,851.79,875.26,851.47,870.11,24207244
2021-10-15,823.7384,843.21,822.35,843.03,18924567
2021-10-14,815.49,820.25,813.3501,818.32,12247170
2021-10-13,810.47,815.41,805.78,811.08,14120075
2021-10-12,800.93,812.32,796.57,805.72,22020040
2021-10-11,787.65,801.24,785.5,791.94,14200322
2021-10-08,796.21,796.38,780.91,785.49,16738604
2021-10-07,785.46,805.0,783.38,793.61,19195782
2021-10-06,776.2,786.66,773.22,782.75,14632768
2021-10-05,784.7962,797.31,774.2,780.59,18432625
2021-10-04,796.5,806.9699,776.12,781.53,30483341
2021-10-01,778.4,780.78,763.59,775.22,17031414
2021-09-30,781.0,789.1305,775.0,775.48,17955961
2021-09-29,779.8,793.5,770.68,781.31,20942877
2021-09-28,787.2,795.64,766.1801,777.56,25381422
2021-09-27,773.12,799.0,769.31,791.36,28070657
2021-09-24,745.89,774.8,744.56,774.39,21373022
2021-09-23,755.0,758.2,747.92,753.64,11947527
2021-09-22,743.5263,753.6699,739.12,751.94,15126272
2021-09-21,734.79,744.7399,730.44,739.38,16330723
2021-09-20,734.5577,742.0,718.6249,730.17,24757652
2021-09-17,757.15,761.04,750.0,759.49,28204176
2021-09-16,752.83,758.91,747.61,756.99,13923393
2021-09-15,745.0,756.86,738.36,755.83,15357685
2021-09-14,742.57,754.47,736.4,744.49,18524881
2021-09-13,740.2143,744.78,708.85,743.0,22952482
2021-09-10,759.6,762.61,734.5201,736.27,15184170
2021-09-09,753.41,762.1,751.6301,754.86,14077731
2021-09-08,761.58,764.45,740.7733,753.87,18793036
2021-09-07,740.0,760.2,739.26,752.92,20039825
2021-09-03,732.2494,734.0,724.2,733.57,15271045
2021-09-02,734.5,740.97,730.54,732.39,12796739
2021-09-01,734.08,741.99,731.2701,734.09,13204335
2021-08-31,733.0,740.39,726.44,735.72,20855436
2021-08-30,714.715,731.0,712.73,730.91,18604220
2021-08-27,705.0,715.0,702.1001,711.92,13833763
2021-08-26,708.31,715.4,697.6201,701.16,13214292
2021-08-25,707.03,716.97,704.0,711.2,12645562
2021-08-24,710.68,715.22,702.64,708.49,13083071
2021-08-23,685.442,712.1299,680.7505,706.3,20264859
2021-08-20,682.85,692.1299,673.7,680.26,14841865
2021-08-19,678.21,686.55,667.59,673.47,14313486
2021-08-18,669.7479,695.77,669.35,688.99,20349375
2021-08-17,672.65,674.58,648.84,665.71,23721279
2021-08-16,705.07,709.5,676.4,686.17,23103303
2021-08-13,723.71,729.9,714.34,717.17,16731467
2021-08-12,706.34,722.8,699.4,722.25,17681686
2021-08-11,712.71,715.18,704.21,707.82,9800558
2021-08-10,713.99,716.59,701.88,709.99,13432305
2021-08-09,710.17,719.03,705.13,713.76,14715349
2021-08-06,711.9,716.33,697.63,699.1,15623049
2021-08-05,716.0,720.9499,711.41,714.63,12919637
2021-08-04,711.0,724.9,708.93,710.92,17002647
2021-08-03,719.0,722.65,701.01,709.74,21620253
2021-08-02,700.0,726.94,698.4,709.67,33615765
2021-07-30,671.758,697.53,669.0,687.2,29656411
2021-07-29,649.79,683.69,648.8,677.35,30394637
2021-07-28,646.995,654.9699,639.4001,646.98,16006596
2021-07-27,663.4,666.5,627.24,644.78,32813290
2021-07-26,650.97,668.1999,647.11,657.62,25336556
2021-07-23,646.36,648.8,637.3001,643.38,14604944
2021-07-22,656.4428,662.17,644.6001,649.26,15105727
2021-07-21,659.61,664.8599,650.2901,655.29,13953338
2021-07-20,651.99,662.3916,640.501,660.5,15487127
2021-07-19,629.89,647.1999,621.29,646.22,21297090
2021-07-16,654.68,656.6999,642.2,644.22,16370970
2021-07-15,658.39,666.14,637.88,650.6,20209571
2021-07-14,670.75,678.6099,652.84,653.38,21641190
2021-07-13,686.32,693.28,666.2958,668.54,20966092
2021-07-12,662.2,687.24,662.161,685.7,25927042
2021-07-09,653.185,658.91,644.69,656.95,18140548
2021-07-08,628.37,654.43,620.46,652.81,22773316
2021-07-07,664.27,665.7,638.32,644.65,18791960
2021-07-06,681.7115,684.0,651.4002,659.58,23284450
2021-07-02,678.98,700.0,673.26,678.9,27097374
2021-07-01,683.92,687.99,672.8,677.92,18634522
2021-06-30,679.77,692.81,678.14,679.7,18924862
2021-06-29,684.65,687.5099,675.89,680.76,17381313
2021-06-28,671.64,694.6999,670.32,688.72,21628159
2021-06-25,689.58,693.81,668.7,671.87,32496707
2021-06-24,674.99,697.62,667.61,679.82,45982386
2021-06-23,632.0,657.204,630.04,656.57,31099228
2021-06-22,618.25,628.5693,615.5,623.71,19158892
2021-06-21,624.48,631.39,608.88,620.83,24812741
2021-06-18,613.37,628.35,611.8,623.31,24560905
2021-06-17,601.8878,621.47,601.34,616.6,22701350
2021-06-16,597.535,608.5,593.5,604.87,22144127
2021-06-15,616.69,616.79,598.23,599.36,17764145
2021-06-14,612.23,625.49,609.18,617.69,20423983
2021-06-11,610.23,612.56,601.52,609.89,16205303
2021-06-10,603.88,616.59,600.5,610.12,23919606
2021-06-09,602.17,611.79,597.6301,598.78,16584566
2021-06-08,623.01,623.09,595.5,603.59,26053405
2021-06-07,591.825,610.0,582.88,605.13,22543682
2021-06-04,579.71,600.61,577.2,599.05,24036896
2021-06-03,601.8,604.55,571.22,572.84,30111893
